ObjectID;Numéro du bureau de vote;Libellé du bureau de vote;Adresse;Code Postal;Identifiant du bureau de vote;geo_shape;geo_point_2d
651;36;ECOLE ELEMENTAIRE;2 RUE DE L ABBE ROUSSELOT;75017;17-36;"{""type"": ""Point"", ""coordinates"": [2.301238357050027, 48.88910185532073]}";48.8891018553, 2.30123835705
653;38;ECOLE ELEMENTAIRE;2 RUE DE L ABBE ROUSSELOT;75017;17-38;"{""type"": ""Point"", ""coordinates"": [2.301238357050027, 48.88910185532073]}";48.8891018553, 2.30123835705
654;39;ECOLE ELEMENTAIRE;40 BOULEVARD DE REIMS;75017;17-39;"{""type"": ""Point"", ""coordinates"": [2.29525869759074, 48.888165762262894]}";48.8881657623, 2.29525869759
659;44;ECOLE HOTELIERE JEAN DROUANT;20 RUE MEDERIC;75017;17-44;"{""type"": ""Point"", ""coordinates"": [2.30374937782114, 48.88075294826639]}";48.8807529483, 2.30374937782
667;52;ECOLE MATERNELLE GUSTAVE DORE;2 RUE CHARLES GERHARDT;75017;17-52;"{""type"": ""Point"", ""coordinates"": [2.3030106025638633, 48.88603405421084]}";48.8860340542, 2.30301060256
674;59;ECOLE ELEMENTAIRE;7 AVENUE DE LA PORTE DE CHAMPERRET;75017;17-59;"{""type"": ""Point"", ""coordinates"": [2.286964093415238, 48.886092221178146]}";48.8860922212, 2.28696409342
677;62;COLLEGE ANDRE MALRAUX;5 bis RUE SAINT FERDINAND;75017;17-62;"{""type"": ""Point"", ""coordinates"": [2.290514945581492, 48.87881044429399]}";48.8788104443, 2.29051494558
678;63;COLLEGE ANDRE MALRAUX;5 bis RUE SAINT FERDINAND;75017;17-63;"{""type"": ""Point"", ""coordinates"": [2.290514945581492, 48.87881044429399]}";48.8788104443, 2.29051494558
689;7;LYCEE SUZANNE VALADON;7 RUE FERDINAND FLOCON;75018;18-7;"{""type"": ""Point"", ""coordinates"": [2.346029170330564, 48.89188921963939]}";48.8918892196, 2.34602917033
691;9;ECOLE ELEMENTAIRE;16 bis RUE SAINTE ISAURE;75018;18-9;"{""type"": ""Point"", ""coordinates"": [2.344358996581172, 48.89395106408268]}";48.8939510641, 2.34435899658
692;10;ECOLE ELEMENTAIRE;69 RUE CHAMPIONNET;75018;18-10;"{""type"": ""Point"", ""coordinates"": [2.34514828843197, 48.895750282963235]}";48.895750283, 2.34514828843
696;14;ECOLE ELEMENTAIRE;7 RUE CHAMPIONNET;75018;18-14;"{""type"": ""Point"", ""coordinates"": [2.352078971320076, 48.895129139404915]}";48.8951291394, 2.35207897132
698;16;COLLEGE GERARD PHILIPE;11 RUE CHAMPIONNET;75018;18-16;"{""type"": ""Point"", ""coordinates"": [2.3516684477344763, 48.89517334948136]}";48.8951733495, 2.35166844773
706;24;ECOLE MATERNELLE;56 RUE D ORSEL;75018;18-24;"{""type"": ""Point"", ""coordinates"": [2.340865746934691, 48.88355382678274]}";48.8835538268, 2.34086574693
708;26;ECOLE ELEMENTAIRE;15 RUE HOUDON;75018;18-26;"{""type"": ""Point"", ""coordinates"": [2.338452327331318, 48.88322840307661]}";48.8832284031, 2.33845232733
710;28;ECOLE ELEMENTAIRE;62 RUE LEPIC;75018;18-28;"{""type"": ""Point"", ""coordinates"": [2.333969779067883, 48.88694476234666]}";48.8869447623, 2.33396977907
